Date,Clicks,Impressions,CTR,Position
2026-05-09,1,10,10%,46.5
2026-05-10,1,20,5%,58.3
2026-05-11,0,30,0%,54.6
2026-05-12,0,22,0%,44.4
2026-05-13,0,19,0%,54.8
2026-05-14,0,24,0%,47.5
2026-05-15,0,87,0%,55.4
2026-05-16,0,16,0%,51.8
2026-05-17,0,19,0%,38.4
2026-05-18,0,15,0%,37.8
2026-05-19,0,9,0%,64.4
2026-05-20,0,16,0%,56.6
2026-05-21,0,17,0%,45.1
2026-05-22,0,15,0%,60.1
2026-05-23,0,19,0%,43.4
2026-05-24,0,16,0%,46.1
2026-05-25,0,21,0%,55.2
2026-05-26,0,27,0%,49
2026-05-27,0,19,0%,44.6
2026-05-28,0,32,0%,48.7
2026-05-29,1,33,3.03%,47.6
2026-05-30,0,37,0%,43.4
2026-05-31,0,44,0%,38.9
2026-06-01,0,39,0%,38.6
2026-06-02,0,40,0%,23.2
2026-06-03,1,28,3.57%,27.2
2026-06-04,1,53,1.89%,34.5
2026-06-05,1,41,2.44%,26.7
2026-06-06,0,72,0%,31
2026-06-07,0,43,0%,31.2
2026-06-08,0,56,0%,26.1
2026-06-09,0,50,0%,29.9
2026-06-10,0,47,0%,35
2026-06-11,0,49,0%,29.4
2026-06-12,0,68,0%,26.2
2026-06-13,0,46,0%,26.4
2026-06-14,0,70,0%,32.2
2026-06-15,0,61,0%,29.1
2026-06-16,0,179,0%,36.6
2026-06-17,1,73,1.37%,25.8
2026-06-18,0,69,0%,26
2026-06-19,0,59,0%,29.1
2026-06-20,1,71,1.41%,30.9
2026-06-21,0,44,0%,27.1
2026-06-22,0,74,0%,25.9
2026-06-23,1,54,1.85%,25.2
2026-06-24,1,70,1.43%,31.4
2026-06-25,0,56,0%,31.8
2026-06-26,0,43,0%,29
2026-06-27,0,42,0%,27.8
2026-06-28,0,50,0%,30.3
2026-06-29,0,49,0%,30.2
2026-06-30,0,50,0%,33
2026-07-01,1,44,2.27%,31.9
2026-07-02,0,56,0%,31.5
2026-07-03,0,52,0%,33.2
2026-07-04,1,57,1.75%,25.8
2026-07-05,0,59,0%,27.5
2026-07-06,1,70,1.43%,32.3
2026-07-07,0,63,0%,27
2026-07-08,0,40,0%,25.6
2026-07-09,1,70,1.43%,25.6
2026-07-10,1,61,1.64%,23
2026-07-11,0,83,0%,23
2026-07-12,1,80,1.25%,25.6
2026-07-13,0,63,0%,26.9
2026-07-14,0,80,0%,24.2
2026-07-15,0,59,0%,24.2
2026-07-16,3,86,3.49%,24.7
2026-07-17,0,83,0%,26.9
2026-07-18,1,181,0.55%,28.9
2026-07-19,0,57,0%,24.2
2026-07-20,1,81,1.23%,23.8
2026-07-21,0,70,0%,25.2
2026-07-22,2,90,2.22%,20.8
2026-07-23,1,83,1.2%,19.7
2026-07-24,0,54,0%,25.9
2026-07-25,1,63,1.59%,24.4
2026-07-26,1,50,2%,22.9
2026-07-27,0,70,0%,28.9
2026-07-28,1,73,1.37%,24.5
2026-07-29,0,65,0%,25
2026-07-30,0,66,0%,26.8
2026-07-31,1,64,1.56%,23.2
2026-08-01,0,76,0%,25.7
2026-08-02,0,76,0%,23.7
2026-08-03,0,71,0%,17.8
2026-08-04,0,104,0%,24
2026-08-05,1,75,1.33%,28.8
2026-08-06,0,73,0%,25.1
2026-08-07,0,82,0%,26.9
2026-08-08,0,81,0%,27
