Country,Clicks,Impressions,CTR,Position
Israel,28,4833,0.58%,30.81
United States,1,101,0.99%,11.34
Germany,0,16,0%,8.06
Palestine,0,15,0%,8.8
Greece,0,12,0%,8.67
United Kingdom,0,12,0%,9.75
Canada,0,10,0%,10.1
Thailand,0,10,0%,12.4
Netherlands,0,9,0%,9.11
Italy,0,8,0%,15.75
Czechia,0,6,0%,11.5
Jordan,0,6,0%,12
Cyprus,0,6,0%,12.5
Denmark,0,5,0%,10.6
Spain,0,5,0%,12.6
India,0,5,0%,19.2
France,0,4,0%,9.25
Romania,0,4,0%,12.5
Russia,0,4,0%,24.25
New Zealand,0,3,0%,7.33
Austria,0,3,0%,9
Mexico,0,3,0%,18
Vietnam,0,3,0%,29.33
Switzerland,0,2,0%,6
Turkey,0,2,0%,7.5
Sri Lanka,0,2,0%,8.5
United Arab Emirates,0,2,0%,9.5
Portugal,0,2,0%,9.5
Brazil,0,2,0%,13
Bulgaria,0,2,0%,18
Japan,0,1,0%,4
Hungary,0,1,0%,5
Ukraine,0,1,0%,5
Argentina,0,1,0%,6
Norway,0,1,0%,7
Australia,0,1,0%,8
Estonia,0,1,0%,8
Isle of Man,0,1,0%,8
Lithuania,0,1,0%,8
Peru,0,1,0%,8
Poland,0,1,0%,8
Taiwan,0,1,0%,8
South Korea,0,1,0%,9
Morocco,0,1,0%,9
Georgia,0,1,0%,10
Ireland,0,1,0%,10
Philippines,0,1,0%,10
Paraguay,0,1,0%,10
Tanzania,0,1,0%,10
Azerbaijan,0,1,0%,11
Finland,0,1,0%,11
Slovakia,0,1,0%,11
Panama,0,1,0%,13
Sweden,0,1,0%,23
Latvia,0,1,0%,27
Iraq,0,1,0%,46
Pakistan,0,1,0%,49
